COVID-19 People Fully Vaccinated from 22/Jan/2020 to 16/May/2022
People received vaccine (count)
Source: Our World in Data - https://ourworldindata.org/covid-deaths

1
2021-01-14,Slovenia,dummy,6.0,Europe
2021-01-14,Switzerland,dummy,292.0,Europe
2021-01-14,United Kingdom,dummy,443234.0,Europe
2021-01-14,United States,dummy,2251526.0,North America

23
2021-01-15,Argentina,dummy,51.0,South America
2021-01-15,Austria,dummy,404.0,Europe
2021-01-15,Belgium,dummy,453.0,Europe
2021-01-15,Canada,dummy,19431.0,North America
2021-01-15,Chile,dummy,8304.0,South America
2021-01-15,Costa Rica,dummy,55.0,North America
2021-01-15,Czechia,dummy,18.0,Europe
2021-01-15,Denmark,dummy,17.0,Europe
2021-01-15,Estonia,dummy,570.0,Europe
2021-01-15,France,dummy,194.0,Europe
2021-01-15,Germany,dummy,1010.0,Europe
2021-01-15,Ireland,dummy,99.0,Europe
2021-01-15,Israel,dummy,222604.0,Asia
2021-01-15,Italy,dummy,18.0,Europe
2021-01-15,Latvia,dummy,25.0,Europe
2021-01-15,Mexico,dummy,1958.0,North America
2021-01-15,Norway,dummy,75.0,Europe
2021-01-15,Portugal,dummy,1427.0,Europe
2021-01-15,Singapore,dummy,20.0,Asia
2021-01-15,Slovenia,dummy,154.0,Europe
2021-01-15,Switzerland,dummy,354.0,Europe
2021-01-15,United Kingdom,dummy,447442.0,Europe
2021-01-15,United States,dummy,2372615.0,North America

21
2021-01-16,Argentina,dummy,52.0,South America
2021-01-16,Belgium,dummy,467.0,Europe
2021-01-16,Canada,dummy,20620.0,North America
2021-01-16,Chile,dummy,8371.0,South America
2021-01-16,Czechia,dummy,22.0,Europe
2021-01-16,Denmark,dummy,27.0,Europe
2021-01-16,Estonia,dummy,577.0,Europe
2021-01-16,France,dummy,264.0,Europe
2021-01-16,Germany,dummy,2255.0,Europe
2021-01-16,Greece,dummy,2.0,Europe
2021-01-16,Ireland,dummy,102.0,Europe
2021-01-16,Israel,dummy,248608.0,Asia
2021-01-16,Italy,dummy,18.0,Europe
2021-01-16,Latvia,dummy,26.0,Europe
2021-01-16,Mexico,dummy,2221.0,North America
2021-01-16,Norway,dummy,79.0,Europe
2021-01-16,Singapore,dummy,22.0,Asia
2021-01-16,Slovenia,dummy,154.0,Europe
2021-01-16,Switzerland,dummy,361.0,Europe
2021-01-16,United Kingdom,dummy,450062.0,Europe
2021-01-16,United States,dummy,2444777.0,North America

26
2021-01-17,Argentina,dummy,55.0,South America
2021-01-17,Belgium,dummy,493.0,Europe
2021-01-17,Canada,dummy,21887.0,North America
2021-01-17,Czechia,dummy,657.0,Europe
2021-01-17,Denmark,dummy,625.0,Europe
2021-01-17,Estonia,dummy,640.0,Europe
2021-01-17,Finland,dummy,5.0,Europe
2021-01-17,France,dummy,310.0,Europe
2021-01-17,Germany,dummy,19340.0,Europe
2021-01-17,Ireland,dummy,106.0,Europe
2021-01-17,Israel,dummy,333195.0,Asia
2021-01-17,Italy,dummy,3008.0,Europe
2021-01-17,Latvia,dummy,31.0,Europe
2021-01-17,Lithuania,dummy,1094.0,Europe
2021-01-17,Mexico,dummy,3434.0,North America
2021-01-17,Norway,dummy,87.0,Europe
2021-01-17,Oman,dummy,673.0,Asia
2021-01-17,Poland,dummy,671.0,Europe
2021-01-17,Romania,dummy,875.0,Europe
2021-01-17,Singapore,dummy,25.0,Asia
2021-01-17,Slovakia,dummy,2848.0,Europe
2021-01-17,Slovenia,dummy,155.0,Europe
2021-01-17,Sweden,dummy,73.0,Europe
2021-01-17,Switzerland,dummy,364.0,Europe
2021-01-17,United Kingdom,dummy,452301.0,Europe
2021-01-17,United States,dummy,2487044.0,North America

30
2021-01-18,Argentina,dummy,59.0,South America
2021-01-18,Belgium,dummy,656.0,Europe
2021-01-18,Bulgaria,dummy,1114.0,Europe
2021-01-18,Canada,dummy,22623.0,North America
2021-01-18,Chile,dummy,8371.0,South America
2021-01-18,Costa Rica,dummy,132.0,North America
2021-01-18,Czechia,dummy,2484.0,Europe
2021-01-18,Denmark,dummy,2487.0,Europe
